Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Halle,02.11.2022,306,Fragaria vesca,no,y,no,,no,y,20,,
Halle,02.11.2022,306,Leucojum aestivum,no,no,no,,no,no,,,
Halle,02.11.2022,306,Galanthus ikariae,no,no,no,,no,no,,,
Halle,02.11.2022,306,Colchicum autumnale,no,no,no,,no,no,,,
Halle,02.11.2022,306,Galanthus plicatus,no,no,no,,no,no,,,
Halle,02.11.2022,306,Polygonatum multiflorum,no,no,no,,y,no,,,
Halle,02.11.2022,306,Leucojum vernum,no,no,no,,no,no,,,
Halle,02.11.2022,306,Crocus speciosus,no,no,no,,no,no,,,
Halle,02.11.2022,306,Podophyllum peltatum,no,no,no,,no,y,100,,
Halle,02.11.2022,306,Lathyrus vernus,no,no,no,,no,y,100,,
Halle,02.11.2022,306,Trollius europaeus,no,no,no,,no,y,100,,
Halle,02.11.2022,306,Anemone hupenhensis,no,no,no,,y,y,30,,
Halle,02.11.2022,306,Carex sylvatica,no,y,no,,no,y,10,,
Halle,02.11.2022,306,Anemone nemorosa,no,no,no,,no,no,,,
Halle,02.11.2022,306,Corydalis solida,no,no,no,,no,no,,,
Halle,02.11.2022,306,Hepatica transsilvanica,no,no,no,,no,y,10,,
Halle,02.11.2022,306,Arum italicum,no,y,no,,no,no,,,
Halle,02.11.2022,306,Hepatica nobilis,no,no,no,,no,no,,,no monitoring at this time
Halle,02.11.2022,306,Asarum europaeum,no,no,no,,no,no,,,
Halle,02.11.2022,306,Convallaria majalis,no,no,no,,y,y,95,,
Halle,08.11.2022,312,Corydalis solida,no,no,no,,no,no,,,
Halle,08.11.2022,312,Hepatica transsilvanica,no,no,no,,no,y,10,,
Halle,08.11.2022,312,Arum italicum,no,y,no,,no,no,,,
Halle,08.11.2022,312,Hepatica nobilis,no,no,no,,no,no,,,no monitoring at this time
Halle,08.11.2022,312,Asarum europaeum,no,no,no,,no,no,,,
Halle,08.11.2022,312,Polygonatum multiflorum,no,no,no,,y,no,,,
Halle,08.11.2022,312,Convallaria majalis,no,no,no,,y,y,95,,
Halle,08.11.2022,312,Leucojum vernum,no,no,no,,no,no,,,
Halle,08.11.2022,312,Crocus speciosus,no,no,no,,no,no,,,
Halle,08.11.2022,312,Fragaria vesca,no,y,no,,no,y,35,,
Halle,08.11.2022,312,Leucojum aestivum,no,no,no,,no,no,,,
Halle,08.11.2022,312,Galanthus ikariae,no,no,no,,no,no,,,
Halle,08.11.2022,312,Colchicum autumnale,no,no,no,,no,no,,,
Halle,08.11.2022,312,Galanthus plicatus,no,no,no,,no,no,,,
Halle,08.11.2022,312,Podophyllum peltatum,no,no,no,,no,no,,,
Halle,08.11.2022,312,Lathyrus vernus,no,no,no,,no,no,,,
Halle,08.11.2022,312,Trollius europaeus,no,no,no,,no,no,,,
Halle,08.11.2022,312,Anemone hupenhensis,no,no,no,,y,y,45,,
Halle,08.11.2022,312,Carex sylvatica,no,y,no,,no,y,10,,
Halle,08.11.2022,312,Anemone nemorosa,no,no,no,,no,no,,,
Halle,15.11.2022,319,Fragaria vesca,no,y,no,,no,y,50,,
Halle,15.11.2022,319,Leucojum aestivum,no,no,no,,no,no,,,
Halle,15.11.2022,319,Galanthus ikariae,no,no,no,,no,no,,,
Halle,15.11.2022,319,Colchicum autumnale,no,no,no,,no,no,,,
Halle,15.11.2022,319,Galanthus plicatus,no,no,no,,no,no,,,
Halle,15.11.2022,319,Podophyllum peltatum,no,no,no,,no,no,,,
Halle,15.11.2022,319,Lathyrus vernus,no,no,no,,no,no,,,
Halle,15.11.2022,319,Trollius europaeus,no,no,no,,no,no,,,
Halle,15.11.2022,319,Anemone hupenhensis,no,no,no,,y,y,60,,
Halle,15.11.2022,319,Carex sylvatica,no,y,no,,no,y,20,,
Halle,15.11.2022,319,Anemone nemorosa,no,no,no,,no,no,,,
Halle,15.11.2022,319,Corydalis solida,no,no,no,,no,no,,,
Halle,15.11.2022,319,Hepatica transsilvanica,no,no,no,,no,y,10,,
Halle,15.11.2022,319,Arum italicum,no,y,no,,no,no,,,
Halle,15.11.2022,319,Hepatica nobilis,no,no,no,,no,no,,,
Halle,15.11.2022,319,Asarum europaeum,no,no,no,,no,no,,covered natural,
Halle,15.11.2022,319,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,15.11.2022,319,Convallaria majalis,no,no,no,,y,y,95,,
Halle,15.11.2022,319,Leucojum vernum,no,no,no,,no,no,,,
Halle,15.11.2022,319,Crocus speciosus,no,no,no,,no,no,,,
Halle,22.11.2022,326,Podophyllum peltatum,no,no,no,,no,no,,,
Halle,22.11.2022,326,Lathyrus vernus,no,no,no,,no,no,,,
