Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Jena,04.01.2023,4,Achillea millefolium,y,y,no,,y,no,,,
Jena,04.01.2023,4,Aconitum lycoctonum,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Actaea spicata,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Agrimonia eupatoria,y,no,no,,no,y,100,,
Jena,04.01.2023,4,Anemone nemorosa,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Hibiscus moscheutos,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Iberis sempervirens,no,no,no,,no,y,40,,
Jena,04.01.2023,4,Iris pseudacorus Wasser,no,no,no,,no,y,90,,
Jena,04.01.2023,4,Lamium album,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Rheum rhabarbarum,y,no,no,,no,no,,,
Jena,04.01.2023,4,Anemone pulsatilla,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Anemone sylvestris,no,no,no,,no,y,85,,
Jena,04.01.2023,4,Antennaria dioica,no,no,no,,no,y,40,,
Jena,04.01.2023,4,Armoracia rusticana,y,no,no,,no,no,,,
Jena,04.01.2023,4,Asphodelus albus,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Brunnera macrophylla,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Bunias orientalis Oeko,y,y,no,,no,y,70,,
Jena,04.01.2023,4,Camassia cusickii,no,no,no,,no,no,,,
Jena,04.01.2023,4,Chelidonium majus,no,y,no,,no,no,,,
Jena,04.01.2023,4,Clematis recta,no,no,no,,y,y,100,,
Jena,04.01.2023,4,Crocus speciosus,no,no,no,,no,no,,,
Jena,04.01.2023,4,Eupatorium cannabinum,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Veratrum album,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Veratrum nigrum,no,no,no,,no,no,,,
Jena,04.01.2023,4,Vinca minor,no,no,no,,no,y,5,,
Jena,04.01.2023,4,Vincetoxicum hirundinaria,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Galega officinalis,y,no,no,,no,no,,,
Jena,04.01.2023,4,Galium mollugo,y,y,no,,no,y,90,,
Jena,04.01.2023,4,Gaultheria shallon,no,no,no,,no,y,95,,
Jena,04.01.2023,4,Geranium sanguineum,no,no,no,,no,y,90,,
Jena,04.01.2023,4,Geum rivale,y,y,no,,no,y,60,,
Jena,04.01.2023,4,Gunnera manicata,no,no,no,,no,no,,covered artificial,
Jena,04.01.2023,4,Helichrysum arenarium,y,no,no,,no,y,60,,
Jena,04.01.2023,4,Helleborus niger,no,no,y,45,no,y,20,,
Jena,04.01.2023,4,Hemerocallis fulva,y,no,no,,no,no,,,
Jena,04.01.2023,4,Lathyrus pratensis,y,no,no,,no,y,100,,
Jena,04.01.2023,4,Lavandula angustifolia,no,no,no,,y,y,70,,
Jena,04.01.2023,4,Linum perenne,y,y,no,,no,y,100,,
Jena,04.01.2023,4,Lysichiton camtschatcensis,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Paeonia delavayi,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Paeonia mlokosewitschii,no,no,no,,no,y,100,,
Jena,04.01.2023,4,Paeonia officinalis,y,no,no,,no,y,100,,
