Botanical_garden,Species,Accepted_name,Number_unique_spp,Species_code
Leipzig,Cyclamen coum,Cyclamen coum,1,CYCO
Leipzig,Tussilago farfara,Tussilago farfara,2,TUFA
Leipzig,Helleborus foetidus,Helleborus foetidus,3,HEFO
Leipzig,Scopolia carniolica,Scopolia carniolica,4,SCCA
Leipzig,Vinca minor,Vinca minor,5,VIMI
Halle,Scopolia carniolica,Scopolia carniolica,5,SCCA
Halle,Viola odorata,Viola odorata,6,VIOD
Halle,Puschkinia scilloides,Puschkinia scilloides,7,PUSC
Jena,Hepatica nobilis,Hepatica nobilis,8,HENO
Jena,Primula denticulata,Primula denticulata,9,PRDE
Jena,Anemone pulsatilla,Pulsatilla vulgaris,10,ANPU
Leipzig,Iberis sempervirens,Iberis sempervirens,11,IBSE
Halle,Narcissus pseudonarcissus,Narcissus pseudonarcissus,12,NAPS
Halle,Lathyrus vernus,Lathyrus vernus,13,LAVE
Jena,Anemone nemorosa,Anemonoides nemorosa,14,ANNE
Leipzig,Primula veris,Primula veris,15,PRVE
Leipzig,Caltha palustris,Caltha palustris,16,CAPA
Halle,Tulipa sylvestris,Tulipa sylvestris,17,TUSY
Leipzig,Trillium sessile,Trillium sessile,18,TRSE
Leipzig,Oxalis acetosella,Oxalis acetosella,19,OXAC
Halle,Silene viscaria,Silene viscaria,20,SIVI
Halle,Lamium album,Lamium album,21,LAAL
Halle,Fragaria vesca,Fragaria vesca,22,FAVE
Jena,Bergenia purpurascens,Bergenia purpurascens,23,BEPU
Halle,Geum rivale,Geum rivale,24,GERI
Leipzig,Dryas octopetala,Dryas octopetala,25,DROC
Leipzig,Asarum caudatum,Asarum caudatum,26,ASCA
Jena,Brunnera macrophylla,Brunnera macrophylla,27,BRMC
Jena,Paeonia officinalis,Paeonia officinalis,28,PAOF
Leipzig,Menyanthes trifoliata,Menyanthes trifoliata,29,METR
Leipzig,Aquilegia chrysantha,Aquilegia chrysantha,30,AQCH
Leipzig,Allium ursinum,Allium ursinum,31,ALUR
Halle,Anemonoides sylvestris,Anemonoides sylvestris,32,ANSY
Jena,Paeonia delavayi,Paeonia delavayi,33,PADE
Halle,Chelidonium majus,Chelidonium majus,34,CHMA
Jena,Asphodelus albus,Asphodelus albus,35,ASAL
Jena,Linum perenne,Linum perenne,36,LIPE
Jena,Geranium sanguineum,Geranium sanguineum,37,GESA
Leipzig,Convallaria majalis,Convallaria majalis,38,COMA
Halle,Aconitum lycoctonum,Aconitum lycoctonum,39,ACLY
Halle,Dictamnus albus,Dictamnus albus,40,DIAL
Halle,Polygonum bistorta,Persicaria bistorta,41,POBI
Jena,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,42,VIHI
Leipzig,Helianthemum nummularium,Helianthemum nummularium,43,HENU
Halle,Salvia officinalis,Salvia officinalis,44,SAOF
Halle,Lotus corniculatus,Lotus corniculatus,45,LOCO
Jena,Campanula rotundifolia,Campanula rotundifolia,46,CARO
Jena,Lotus maritimus,Lotus maritimus,47,LOMA
Halle,Gratiola officinalis,Gratiola officinalis,48,GROF
Halle,Solanum dulcamara,Solanum dulcamara,49,SODU
Leipzig,Hemerocallis dumortieri,Hemerocallis dumortieri,50,HEDU
Leipzig,Silene vulgaris,Silene vulgaris,51,SIVU
Leipzig,Penstemon grandiflorus,Penstemon grandiflorus,52,PEGR
Leipzig,Psephellus dealbatus,Psephellus dealbatus,53,PSDE
Leipzig,Centranthus ruber,Centranthus ruber,54,CERU
Leipzig,Silene nutans,Silene nutans,55,SINU
Halle,Hypericum perforatum,Hypericum perforatum,56,HYPE
Leipzig,Hypericum olympicum,Hypericum olympicum,57,HYOL
Jena,Clematis recta,Clematis recta,58,CLRE
Jena,Salvia pratensis,Salvia pratensis,59,SAPR
Leipzig,Silene coronaria,Silene coronaria,60,SICO
Jena,Genista tinctoria,Genista tinctoria,61,GETI
Halle,Fuchsia magellanica,Fuchsia magellanica,62,FUMA
Halle,Hemerocallis fulva,Hemerocallis fulva,63,HEFU
Halle,Dianthus carthusianorum,Dianthus carthusianorum,64,DICA
Leipzig,Anthericum ramosum,Anthericum ramosum,65,ANRA
Halle,Saponaria officinalis,Saponaria officinalis,66,SAOF
Jena,Securigera varia,Coronilla varia,67,SEVA
Halle,Clematis integrifolia,Clematis integrifolia,68,CLIN
Leipzig,Lavandula angustifolia,Lavandula angustifolia,69,LAAN
Leipzig,Anemone hupehensis ,Anemone hupehensis ,70,ANHU
Jena,Galega officinalis,Galega officinalis,71,GAOF
Halle,Platycodon grandiflorus,Platycodon grandiflorus,72,PLGR
Jena,Betonica officinalis,Betonica officinalis,73,BEOF
Jena,Origanum vulgare,Origanum vulgare,74,ORVU
Jena,Achillea millefolium,Achillea millefolium,75,ACMI
Halle,Tanacetum vulgare,Tanacetum vulgare,76,TAVU
Halle,Leucanthemum vulgare,Leucanthemum vulgare,77,LEVU
Leipzig,Scabiosa ochroleuca,Scabiosa ochroleuca,78,SCOC
