Species,Anthers_per_sample,Pollen_per_sample,Rank,Reference,Link
Cyclamen coum,5,15307,species,Bot_garden,
Cyclamen coum,5,11002,species,Bot_garden,
Cyclamen coum,5,18177,species,Bot_garden,
Cyclamen coum,5,44007,species,Bot_garden,
Cyclamen coum,5,17220,species,Bot_garden,
Tussilago farfara,5,1861,species,Literature,10.1127/0006-8152/2003/0124-0273
Helleborus foetidus,1,797,species,Bot_garden,
Helleborus foetidus,1,957,species,Bot_garden,
Helleborus foetidus,1,2073,species,Bot_garden,
Helleborus foetidus,1,478,species,Bot_garden,
Helleborus foetidus,1,319,species,Bot_garden,
Scopolia carniolica,1,21525,species,Bot_garden,
Scopolia carniolica,1,14988,species,Bot_garden,
Scopolia carniolica,1,20409,species,Bot_garden,
Scopolia carniolica,1,24236,species,Bot_garden,
Scopolia carniolica,1,19293,species,Bot_garden,
Vinca minor,1,500,family,Literature_extrapolated,https://doi.org/10.1016/j.sajb.2023.01.004
Viola odorata,1,1435,species,Bot_garden,
Viola odorata,1,1594,species,Bot_garden,
Viola odorata,1,797,species,Bot_garden,
Viola odorata,1,1754,species,Bot_garden,
Puschkinia scilloides,1,7016,species,Bot_garden,
Puschkinia scilloides,1,1276,species,Bot_garden,
Puschkinia scilloides,1,3189,species,Bot_garden,
Puschkinia scilloides,1,7972,species,Bot_garden,
Puschkinia scilloides,1,8929,species,Bot_garden,
Hepatica nobilis,1,638,species,Bot_garden,
Hepatica nobilis,1,1116,species,Bot_garden,
Hepatica nobilis,1,2551,species,Bot_garden,
Hepatica nobilis,1,1754,species,Bot_garden,
Hepatica nobilis,1,1276,species,Bot_garden,
Pulsatilla vulgaris,1,478,species,Bot_garden,https://doi.org/10.1016/S0367-2530(17)30370-5
Pulsatilla vulgaris,1,1435,species,Bot_garden,https://doi.org/10.1016/S0367-2530(17)30370-5
Primula denticulata,1,21366,species,Bot_garden,
Primula denticulata,1,9886,species,Bot_garden,
Primula denticulata,1,17220,species,Bot_garden,
Primula denticulata,1,17858,species,Bot_garden,
Primula denticulata,1,8770,species,Bot_garden,
Iberis sempervirens,1,2392,species,Bot_garden,
Iberis sempervirens,1,638,species,Bot_garden,
Iberis sempervirens,1,1116,species,Bot_garden,
Iberis sempervirens,1,159,species,Bot_garden,
Narcissus pseudonarcissus,1,74621,species,Bot_garden,
Narcissus pseudonarcissus,1,122455,species,Bot_garden,
Narcissus pseudonarcissus,1,90884,species,Bot_garden,
Narcissus pseudonarcissus,1,99654,species,Bot_garden,
Narcissus pseudonarcissus,1,33643,species,Bot_garden,
Lathyrus vernus,1,5900,species,Bot_garden,
Lathyrus vernus,1,478,species,Bot_garden,
Lathyrus vernus,1,1594,species,Bot_garden,
Lathyrus vernus,1,1594,species,Bot_garden,
Lathyrus vernus,1,5102,species,Bot_garden,
Anemonoides nemorosa,1,319,species,Bot_garden,
Anemonoides nemorosa,1,1116,species,Bot_garden,
Anemonoides nemorosa,1,1594,species,Bot_garden,
Anemonoides nemorosa,1,797,species,Bot_garden,
Anemonoides nemorosa,1,159,species,Bot_garden,
Primula veris,1,21685,species,Bot_garden,
Primula veris,1,51023,species,Bot_garden,
Primula veris,1,39543,species,Bot_garden,
Primula veris,1,27106,species,Bot_garden,
Primula veris,1,45602,species,Bot_garden,
Caltha palustris,5,9886,species,Bot_garden,
Caltha palustris,5,3986,species,Bot_garden,
Caltha palustris,5,10523,species,Bot_garden,
Tulipa sylvestris,1,47196,species,Bot_garden,
Tulipa sylvestris,1,125484,species,Bot_garden,
Tulipa sylvestris,1,25033,species,Bot_garden,
Tulipa sylvestris,1,44804,species,Bot_garden,
Tulipa sylvestris,1,121657,species,Bot_garden,
Trillium sessile,1,185436,species,Bot_garden,
Trillium sessile,1,112409,species,Bot_garden,
Trillium sessile,1,51820,species,Bot_garden,
Trillium sessile,1,27744,species,Bot_garden,
Trillium sessile,1,181131,species,Bot_garden,
Oxalis acetosella,1,159,species,Bot_garden,
Oxalis acetosella,1,319,species,Bot_garden,
Oxalis acetosella,1,478,species,Bot_garden,
Oxalis acetosella,1,478,species,Bot_garden,
Oxalis acetosella,5,1754,species,Bot_garden,
Silene viscaria,1,3189,species,Bot_garden,
Silene viscaria,1,10523,species,Bot_garden,
Silene viscaria,1,478,species,Bot_garden,
Silene viscaria,1,159,species,Bot_garden,
Silene viscaria,1,478,species,Bot_garden,
Lamium album,1,1594,species,Bot_garden,
Lamium album,1,957,species,Bot_garden,
Lamium album,1,2073,species,Bot_garden,
Lamium album,1,1913,species,Bot_garden,
Fragaria vesca,1,1276,species,Bot_garden,
Fragaria vesca,1,3508,species,Bot_garden,
Fragaria vesca,1,4464,species,Bot_garden,
Fragaria vesca,1,1754,species,Bot_garden,
Bergenia purpurascens,1,4000,family,Literature_extrapolated,https://amu.hal.science/hal-03019146/document
Geum rivale,5,5740,species,Bot_garden,
Geum rivale,5,478,species,Bot_garden,
Geum rivale,5,4464,species,Bot_garden,
Geum rivale,5,1435,species,Bot_garden,
Geum rivale,5,3827,species,Bot_garden,
Dryas octopetala,1,2000,genus,Literature_extrapolated,https://search.library.wisc.edu/catalog/999632195302121
Asarum caudatum,1,98,species,Bot_garden,
Asarum caudatum,1,147,species,Bot_garden,
Asarum caudatum,1,147,species,Bot_garden,
Brunnera macrophylla,1,5000,family,Literature_extrapolated,https://doi.org/10.1002/ece3.3914
Paeonia officinalis,6,16742,species,Bot_garden,
Paeonia officinalis,6,37151,species,Bot_garden,
Paeonia officinalis,6,25033,species,Bot_garden,
Paeonia officinalis,6,29498,species,Bot_garden,
Paeonia officinalis,6,33643,species,Bot_garden,
Menyanthes trifoliata,1,6537,species,Bot_garden,
Menyanthes trifoliata,1,5740,species,Bot_garden,
Menyanthes trifoliata,1,957,species,Bot_garden,
Menyanthes trifoliata,1,4943,species,Bot_garden,
Menyanthes trifoliata,1,1754,species,Bot_garden,
Aquilegia chrysantha,5,62024,species,Bot_garden,
Aquilegia chrysantha,5,44167,species,Bot_garden,
Aquilegia chrysantha,5,119266,species,Bot_garden,
Aquilegia chrysantha,5,68562,species,Bot_garden,
Allium ursinum,1,10205,species,Bot_garden,
Allium ursinum,1,14031,species,Bot_garden,
Allium ursinum,1,12756,species,Bot_garden,
Allium ursinum,1,2711,species,Bot_garden,
Allium ursinum,6,58995,species,Bot_garden,
Anemonoides sylvestris,5,26149,species,Bot_garden,
Anemonoides sylvestris,5,19452,species,Bot_garden,
Anemonoides sylvestris,5,8291,species,Bot_garden,
Anemonoides sylvestris,5,19931,species,Bot_garden,
Anemonoides sylvestris,5,11161,species,Bot_garden,
Paeonia delavayi,1,40978,species,Bot_garden,
Paeonia delavayi,1,97103,species,Bot_garden,
Paeonia delavayi,1,15945,species,Bot_garden,
Paeonia delavayi,1,22641,species,Bot_garden,
Paeonia delavayi,1,28541,species,Bot_garden,
Chelidonium majus,1,1913,species,Bot_garden,
Chelidonium majus,1,3508,species,Bot_garden,
Chelidonium majus,1,6059,species,Bot_garden,
Chelidonium majus,1,1594,species,Bot_garden,
Chelidonium majus,1,2551,species,Bot_garden,
Asphodelus albus,1,4305,species,Bot_garden,
Asphodelus albus,1,3827,species,Bot_garden,
Asphodelus albus,1,5262,species,Bot_garden,
Asphodelus albus,1,12277,species,Bot_garden,
Asphodelus albus,1,4624,species,Bot_garden,
Linum perenne,5,319,species,Bot_garden,
Linum perenne,5,478,species,Bot_garden,
Geranium sanguineum,5,319,species,Bot_garden,
Geranium sanguineum,5,797,species,Bot_garden,
Geranium sanguineum,5,478,species,Bot_garden,
Convallaria majalis,6,25352,species,Bot_garden,
Convallaria majalis,5,21685,species,Bot_garden,
Convallaria majalis,6,9088,species,Bot_garden,
Aconitum lycoctonum,5,27584,species,Bot_garden,
Aconitum lycoctonum,5,7335,species,Bot_garden,
Aconitum lycoctonum,5,5102,species,Bot_garden,
Dictamnus albus,5,75099,species,Bot_garden,
Dictamnus albus,5,79564,species,Bot_garden,
Dictamnus albus,5,174912,species,Bot_garden,
Persicaria bistorta,5,2392,species,Bot_garden,
Persicaria bistorta,5,4624,species,Bot_garden,
Persicaria bistorta,5,6697,species,Bot_garden,
Vincetoxicum hirundinaria,5,49,species,Bot_garden,https://www.jstor.org/stable/3547428
Vincetoxicum hirundinaria,5,98,species,Bot_garden,https://www.jstor.org/stable/3547428
Helianthemum nummularium,5,1276,species,Bot_garden,
Helianthemum nummularium,5,2711,species,Bot_garden,
Helianthemum nummularium,5,7972,species,Bot_garden,
Salvia officinalis,5,1435,species,Bot_garden,
Salvia officinalis,5,10045,species,Bot_garden,
Salvia officinalis,5,8610,species,Bot_garden,
Salvia officinalis,5,10045,species,Bot_garden,
Salvia officinalis,5,5581,species,Bot_garden,
Lotus corniculatus,10,88652,species,Bot_garden,
Lotus corniculatus,10,6856,species,Bot_garden,
Lotus corniculatus,10,231197,species,Bot_garden,
Campanula rotundifolia,5,84825,species,Bot_garden,
Campanula rotundifolia,5,19293,species,Bot_garden,
Campanula rotundifolia,5,36673,species,Bot_garden,
Lotus maritimus,10,291467,species,Bot_garden,
Lotus maritimus,10,226094,species,Bot_garden,
Lotus maritimus,10,200264,species,Bot_garden,
Gratiola officinalis,4,19293,species,Bot_garden,
Gratiola officinalis,4,14828,species,Bot_garden,
Gratiola officinalis,4,17380,species,Bot_garden,
Gratiola officinalis,4,22801,species,Bot_garden,
Solanum dulcamara,5,134413,species,Bot_garden,
Solanum dulcamara,5,298961,species,Bot_garden,
Solanum dulcamara,5,259259,species,Bot_garden,
Solanum dulcamara,5,302788,species,Bot_garden,
Solanum dulcamara,5,164070,species,Bot_garden,
Hemerocallis dumortieri,1,4624,species,Bot_garden,
Hemerocallis dumortieri,1,7494,species,Bot_garden,
Hemerocallis dumortieri,1,6218,species,Bot_garden,
Hemerocallis dumortieri,1,10523,species,Bot_garden,
Hemerocallis dumortieri,5,33643,species,Bot_garden,
Silene vulgaris,5,43403,species,Bot_garden,
Penstemon grandiflorus,4,149994,species,Bot_garden,
Penstemon grandiflorus,4,119357,species,Bot_garden,
Penstemon grandiflorus,4,102762,species,Bot_garden,
Psephellus dealbatus,5,162760,species,Bot_garden,
Psephellus dealbatus,5,261054,species,Bot_garden,
Psephellus dealbatus,5,312754,species,Bot_garden,
Psephellus dealbatus,5,47871,species,Bot_garden,
Psephellus dealbatus,5,175525,species,Bot_garden,
Centranthus ruber,5,30637,species,Bot_garden,
Centranthus ruber,5,13404,species,Bot_garden,
Centranthus ruber,5,12765,species,Bot_garden,
Silene nutans,10,17000,species,Bot_garden,
Hypericum perforatum,10,243821,species,Bot_garden,
Hypericum perforatum,10,23616,species,Bot_garden,
Hypericum perforatum,10,91911,species,Bot_garden,
Hypericum perforatum,10,160207,species,Bot_garden,
Hypericum olympicum,6,175525,species,Bot_garden,
Hypericum olympicum,6,129570,species,Bot_garden,
Hypericum olympicum,6,243821,species,Bot_garden,
Hypericum olympicum,7,151271,species,Bot_garden,
Hypericum olympicum,7,135952,species,Bot_garden,
Clematis recta,33,112336,species,Bot_garden,
Clematis recta,33,77231,species,Bot_garden,
Clematis recta,4,77869,species,Bot_garden,
Clematis recta,33,19786,species,Bot_garden,
Salvia pratensis,2,67019,species,Bot_garden,
Salvia pratensis,2,19786,species,Bot_garden,
Salvia pratensis,2,54892,species,Bot_garden,
Silene coronaria,5,53615,species,Bot_garden,
Silene coronaria,5,110421,species,Bot_garden,
Silene coronaria,5,130208,species,Bot_garden,
Silene coronaria,5,66380,species,Bot_garden,
Silene coronaria,5,49147,species,Bot_garden,
Genista tinctoria,10,23917,species,Bot_garden,
Genista tinctoria,10,32846,species,Bot_garden,
Genista tinctoria,10,51979,species,Bot_garden,
Genista tinctoria,10,17539,species,Bot_garden,
Genista tinctoria,10,15785,species,Bot_garden,
Fuchsia magellanica,5,319,species,Bot_garden,
Fuchsia magellanica,5,319,species,Bot_garden,
Fuchsia magellanica,5,319,species,Bot_garden,
Hemerocallis fulva,1,2392,species,Bot_garden,
Hemerocallis fulva,1,2711,species,Bot_garden,
Hemerocallis fulva,1,2073,species,Bot_garden,
