Botanical_garden,Species,Number_unique_spp,Plant_height_mm,Info,Flower_number,Flower_inflorescence,Flower_width,Flower_length,Floral_tube_length,Floral_tube_width,Flower_colour,Symmetry,Flower_shape,Flower_orientation,Flowering_start,Flowering_end,Flower_life_start,Flower_life_end,Flower_life_span_days,Flower_life_span_days_ref,Pistil_number,Pistil_length,Style_length,Ovary_length,Stigma_length,Stamen_number,Stamen_length,Filament_length,Anther_length,Herkogamy_above,Herkogamy_length,Herkogamy_width,Ovule_number/flower,Ovule_number/floral_unit,Ovule_length,Ovule_width,Ovule_image,Ovule_ref
Leipzig,Cyclamen coum,1,100,Flower,10,1,25,17,8,3,pink,Actinomorphic,tubular,Downward,01/01/2023,29/03/2023,20/03/2023,25/03/2023,to_calculate,NA,1,7,5,1,1,5,4.5,,,stigma,1,0,11,11,0.5,0.3,https://www.dropbox.com/s/1bz0wc631yu687i/CYCO.JPG?dl=0,NA
Leipzig,Cyclamen coum,1,75,Flower,5,1,22,12,9,3,pink,Actinomorphic,tubular,Downward,01/01/2023,29/03/2023,20/03/2023,25/03/2023,to_calculate,NA,1,7,5,1,1,5,4.5,,,stigma,1,0,20,20,NA,NA,NA,NA
Leipzig,Cyclamen coum,1,100,Flower,3,1,22,14,8,3,pink,Actinomorphic,tubular,Downward,01/01/2023,29/03/2023,20/03/2023,27/03/2023,to_calculate,NA,1,7,5,1,1,5,4.5,,,stigma,1,0,17,17,NA,NA,NA,NA
Leipzig,Tussilago farfara,2,100,Capitulum,12,1,25,15,1.5,3,yellow,Actinomorphic,capitulum,Upward,15/03/2023,03/05/2023,NA,NA,10,10.1127/0006-8152/2003/0124-0273,266.2,7,4.5,1.5,0.1,5,4.5,,,,,,1,266.2,1,0.3,https://www.dropbox.com/s/gyp74cj5bpnujrg/TUFA.JPG?dl=0,10.1127/0006-8152/2003/0124-0273
Leipzig,Tussilago farfara,2,75,Capitulum,22,1,24,18,1.5,3,yellow,Actinomorphic,capitulum,Upward,15/03/2023,03/05/2023,NA,NA,NA,NA,NA,7,4.5,1.5,0.1,5,4.5,,,,,,NA,NA,NA,NA,NA,NA
Leipzig,Tussilago farfara,2,130,Capitulum,8,1,17,12,1.5,3,yellow,Actinomorphic,capitulum,Upward,15/03/2023,03/05/2023,NA,NA,NA,NA,NA,7,4.5,1.5,0.1,5,4.5,,,,,,NA,NA,NA,NA,NA,NA
Leipzig,Helleborus foetidus,3,450,Flower,45,45,13,16,6,1,green,Actinomorphic,bowl,Horizontal-Downward,06/01/2023,19/04/2023,22/03/2023,29/03/2023,to_calculate,NA,2,15,7,6.5,0.1,19,15,,,none,0,2,23,23,1.5,0.9,https://www.dropbox.com/s/40dzgt4tt042irl/HEVI.JPG?dl=0,NA
Leipzig,Helleborus foetidus,3,350,Flower,45,45,17,16,6,1,green,Actinomorphic,bowl,Horizontal-Downward,06/01/2023,19/04/2023,22/03/2023,30/03/2023,to_calculate,NA,2,15,7,6.5,0.1,37,13,,,NA,NA,NA,20,20,NA,NA,NA,NA
Leipzig,Helleborus foetidus,3,400,Flower,43,43,15,15,6,1,green,Actinomorphic,bowl,Horizontal-Downward,02/01/2023,19/04/2023,22/03/2023,02/04/2023,to_calculate,NA,2,16,7,7,0.1,30,10,,,NA,NA,NA,21,21,NA,NA,NA,NA
Leipzig,Scopolia carniolica,4,180,Flower,7,2,10,25,25,10,white,Actinomorphic,tubular,Downward,22/03/2023,24/05/2023,29/03/2023,09/04/2023,to_calculate,NA,1,16,13,2,1,5,7,,,stigma,4,1,94,94,0.3,0.2,https://www.dropbox.com/s/ouabpvqrm8x3wnu/SCCA.JPG?dl=0,NA
Leipzig,Scopolia carniolica,4,150,Flower,9,2,9,20,20,9,white,Actinomorphic,tubular,Downward,22/03/2023,24/05/2023,29/03/2023,11/04/2023,to_calculate,NA,1,16,12,3.5,0.5,5,10,,,NA,NA,NA,76,76,NA,NA,NA,NA
Leipzig,Scopolia carniolica,4,170,Flower,3,1,13,22,22,13,white,Actinomorphic,tubular,Downward,22/03/2023,24/05/2023,29/03/2023,18/04/2023,to_calculate,NA,1,16,12.5,3.5,1,5,9,,,NA,NA,NA,80,80,NA,NA,NA,NA
Leipzig,Vinca minor,5,400,Flower,200,1,20,10,10,3,purple,Actinomorphic,tubular,Upward,24/03/2023,31/05/2023,29/03/2023,09/04/23,to_calculate,NA,1,7,5.5,1,1.5,5,1.5,,,none,0,0,12,12,0.3,0.2,https://www.dropbox.com/s/fu6ee0plusz5crw/VIMI.JPG?dl=0,NA
Leipzig,Vinca minor,5,NA,Flower,NA,1,18,9,9,2.5,purple,Actinomorphic,tubular,Upward,24/03/2023,31/05/2023,29/03/2023,10/04/2023,to_calculate,NA,1,6.5,4,1,1.5,5,2.5,,,none,0,0,10,10,NA,NA,NA,NA
Leipzig,Vinca minor,5,NA,Flower,NA,1,22,10,10,3,purple,Actinomorphic,tubular,Upward,24/03/2023,31/05/2023,29/03/2023,10/04/2023,to_calculate,NA,1,6,4.5,1,1.5,5,2,,,none,0,0,12,12,NA,NA,NA,NA
Halle,Viola odorata,6,60,Flower,3,1,16,16,8,3,purple,Zygomorphic,tubular,Horizontal-Downward,16/02/2023,22/04/2023,01/04/2023,10/04/2023,to_calculate,NA,1,4,2,2,0.1,5,4,,,stigma,0.3,0,23,23,0.4,0.3,https://www.dropbox.com/s/gzddm0a8mor84i7/VIOD.JPG?dl=0,NA
Halle,Viola odorata,6,50,Flower,2,1,17,17,10,3,purple,Zygomorphic,tubular,Horizontal-Downward,16/02/2023,22/04/2023,04/06/2023,19/04/2023,to_calculate,NA,1,4,2,2,0.1,5,4,,,stigma,NA,NA,25,25,NA,NA,NA,NA
Halle,Viola odorata,6,35,Flower,2,1,15,17,9,3,purple,Zygomorphic,tubular,Horizontal-Downward,16/02/2023,22/04/2023,04/06/2023,19/04/2023,to_calculate,NA,1,4.5,3,1.5,0.1,5,4,,,stigma,NA,NA,26,26,NA,NA,NA,NA
