Botanical_garden,Accepted_name,Number_unique_spp,Sample_size,Total_mass,Seed_mass,Resource,Links
Leipzig,Cyclamen coum,1,80,1,,Online_jelitto,
Leipzig,Tussilago farfara,2,1000,0.21053,,Online_jelitto,
Leipzig,Helleborus foetidus,3,67,0.747,,Bot_garden,
Leipzig,Scopolia carniolica,4,370,1,,Online_jelitto,
Leipzig,Vinca minor,5,1000,1.6,,Literature_article_family_level,https://doi.org/10.1007/s11101-007-9069-x
Halle,Viola odorata,6,14,0.040,,Bot_garden,
Halle,Puschkinia scilloides,7,135,1,,Online_jelitto_family_level,https://www.jelitto.com/Seed/Random+browse/SCILLA+bifolia+Portion+s.html
Jena,Hepatica nobilis,8,68,0.186,,Bot_garden,
Jena,Primula denticulata,9,1000,0.05882,,Online_jelitto,https://www.jelitto.com/Seed/Perennials/PRIMULA+denticulata+Blue+Selection+Portion+s.html
Leipzig,Pulsatilla vulgaris,10,610,2.420,,Bot_garden,
Leipzig,Iberis sempervirens,11,495,1,,Online_jelitto,https://www.jelitto.com/Seed/GOLD+NUGGET+SEED/IBERIS+sempervirens+Snow+Cushion+Seeds.html
Halle,Narcissus pseudonarcissus,12,1,0.13,,Literature_article,https://doi.org/10.1038/205819a0
Halle,Lathyrus vernus,13,23,0.265,,Bot_garden,
Jena,Anemonoides nemorosa,14,480,1,,Online_jelitto,https://www.jelitto.com/Seed/Perennials/ANEMONE+nemorosa+Portion+s.html
Leipzig,Primula veris,15,1000,0.95,,Online_jelitto,https://www.jelitto.com/Seed/Organic+Seed/PRIMULA+veris+Portion+s.html
Leipzig,Caltha palustris,16,435,0.463,,Bot_garden,
Halle,Tulipa sylvestris,17,48,0.316,,Bot_garden,
Leipzig,Trillium sessile,18,1,0.031,,Literature_thesis,http://hdl.handle.net/10415/331
Halle,Oxalis acetosella,19,7,0.005,,Bot_garden,
Halle,Silene viscaria,20,1488,0.117,,Bot_garden,
Halle,Lamium album,21,1000,1.4,,Online_weberseeds,https://www.weberseeds.de/lamium-album.html
Halle,Fragaria vesca,22,436,0.180,,Bot_garden,
Jena,Bergenia purpurascens,23,331,0.055,,Bot_garden,
Halle,Geum rivale,24,460,0.606,,Bot_garden,
