Botanical_garden,Species,Number_unique_spp,Replicate,Compatibility,Reference_compatibility_level,Aut_selfing_qualitative,Selfing_fruit_number,Selfing_seed_number,Source
Leipzig,Cyclamen coum,1,1,Self_compatible,Bot_garden,high,NA,NA,Bot_garden
Leipzig,Cyclamen coum,1,2,Self_compatible,Bot_garden,high,NA,NA,Bot_garden
Leipzig,Cyclamen coum,1,3,Self_compatible,Bot_garden,high,NA,NA,Bot_garden
Leipzig,Tussilago farfara,2,1,Self_incompatible,https://doi.org/10.1127/0006-8152/2003/0124-0273,none,0,0,Literature
Leipzig,Helleborus foetidus,3,1,Partially_self_compatible,https://doi.org/10.1080/11263500012331358464,medium,0,0,Bot_garden
Leipzig,Helleborus foetidus,3,2,Partially_self_compatible,https://doi.org/10.1080/11263500012331358464,medium,1,18,Bot_garden
Leipzig,Helleborus foetidus,3,3,Partially_self_compatible,https://doi.org/10.1080/11263500012331358464,medium,1,6,Bot_garden
Leipzig,Helleborus foetidus,3,4,Partially_self_compatible,https://doi.org/10.1080/11263500012331358464,medium,1,20,Bot_garden
Leipzig,Helleborus foetidus,3,5,Partially_self_compatible,https://doi.org/10.1080/11263500012331358464,medium,0,0,Bot_garden
Leipzig,Helleborus foetidus,3,6,Partially_self_compatible,https://doi.org/10.1080/11263500012331358464,medium,0,0,Bot_garden
Leipzig,Helleborus foetidus,3,7,Partially_self_compatible,https://doi.org/10.1080/11263500012331358464,medium,1,12,Bot_garden
Leipzig,Scopolia carniolica,4,1,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0,Bot_garden
Leipzig,Scopolia carniolica,4,2,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0,Bot_garden
Leipzig,Scopolia carniolica,4,3,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0,Bot_garden
Leipzig,Scopolia carniolica,4,4,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0,Bot_garden
Leipzig,Scopolia carniolica,4,5,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0,Bot_garden
Leipzig,Scopolia carniolica,4,6,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0,Bot_garden
Leipzig,Scopolia carniolica,4,7,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0,Bot_garden
Leipzig,Scopolia carniolica,4,8,Partially_self_compatible,http://dx.doi.org/10.5586/asbp.3486,none,0,0,Bot_garden
Leipzig,Vinca minor,5,1,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Leipzig,Vinca minor,5,2,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Leipzig,Vinca minor,5,3,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Leipzig,Vinca minor,5,4,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Leipzig,Vinca minor,5,5,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Halle,Viola odorata,6,1,Self_compatible,"Banasinska, A., & Kuta, E. (1996). Allogamy in Viola odorata L. Acta Biologica Cracoviensia. Series Botanica, (38).",medium,1,7,Bot_garden_&_Literature
Halle,Viola odorata,6,2,Self_compatible,"Banasinska, A., & Kuta, E. (1996). Allogamy in Viola odorata L. Acta Biologica Cracoviensia. Series Botanica, (38).",medium,0,0,Bot_garden_&_Literature
Halle,Puschkinia scilloides,7,,Partially_self_compatible,https://doi.org/10.1111/evo.13501,low,NA,NA,Literature_family_level
Jena,Hepatica nobilis,8,1,Self_compatible,"Kameoka et al., 2019 Bull. Natl. Mus. Nat. Sci., Ser. B, 45(1), pp. 17–27; https://naturalist-club.org/wp-content/uploads/2017/02/Hepatica-Hepatica-nobilis.pdf",high,NA,NA,Literature
Jena,Primula denticulata,9,1,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,2,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,3,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,4,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,5,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,6,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,7,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,8,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,9,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,10,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,11,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,12,Self_incompatible,Bot_garden,none,0,0,Bot_garden
Jena,Primula denticulata,9,13,Self_incompatible,Bot_garden,none,0,0,Bot_garden
