Plant_family,Pollinator_guild,SES,mean_trait_matching,median_trait_matching,sd_trait_matching,n_trait_pairs,n_plant_taxa,n_pollinator_taxa,Association
Amaryllidaceae,Andrenidae,-4.863742348258364,1.0710847039900155e-4,1.5924131993604904e-5,1.8193921165432907e-4,30,2,15,Avoidance
Amaryllidaceae,Apidae,-32.166997783054136,0.003700939233344411,1.0983239640071575e-5,0.016341858965617833,60,2,30,Avoidance
Amaryllidaceae,Bombylids,12.406556428353129,0.001292447135890869,2.2369904906343504e-4,0.0017689617044903537,10,2,5,Preference
Amaryllidaceae,Coleoptera,-4.0319415375885805,6.480333590955547e-4,3.974320481211527e-6,0.002067422629020798,28,2,14,Avoidance
Amaryllidaceae,Colletidae,44.93280704538477,4.377181253603622e-5,6.442288272111875e-6,8.362405529986278e-5,20,2,10,Preference
Amaryllidaceae,Halictidae,7.4179900860481975,4.100119490052272e-5,6.7774649228599345e-6,8.46308965263685e-5,46,2,23,Preference
Amaryllidaceae,Lepidoptera,-4.763320031889736,8.331350190215125e-5,6.839064424324374e-5,9.924060298497309e-5,4,2,2,Avoidance
Amaryllidaceae,Megachilidae,-8.14397024032067,3.972698590395888e-4,2.0480385534469638e-5,7.762876788911554e-4,56,2,28,Avoidance
Amaryllidaceae,Non-bee Hymenoptera,0.7826916159304311,1.300086899987524e-4,6.327511067481033e-6,3.483632911268331e-4,44,2,22,Avoidance
Amaryllidaceae,Other Diptera,-6.217430007286763,9.406726971989992e-5,4.844610493413354e-6,3.477432157398053e-4,82,2,41,Avoidance
Amaryllidaceae,Syrphids,-1.88822537410138,5.780844009616566e-4,9.100382053016552e-6,0.0014703482692851584,40,2,20,Avoidance
Apocynaceae,Andrenidae,-3.667094967366354,0.06369793372294372,0.02728010063746885,0.07740512260609107,30,2,15,Avoidance
Apocynaceae,Apidae,-1.8377952017447718,0.1743228990855531,0.023075372206961514,0.23610596135264986,60,2,30,Avoidance
Apocynaceae,Bombylids,1.8702903958127843,0.19755674757613367,0.10102358020224153,0.22451653309182207,10,2,5,Avoidance
Apocynaceae,Coleoptera,-1.78881138913267,0.08659744694200876,0.012822560011167595,0.16904589249788032,28,2,14,Avoidance
Apocynaceae,Colletidae,-13.093168651894521,0.038773836439009404,0.016737062669140913,0.05269839659649982,20,2,10,Avoidance
Apocynaceae,Halictidae,-6.94504891354274,0.03812178939536328,0.017209504487493244,0.049547636129791836,46,2,23,Avoidance
