Botanical_garden,Week,av_dprime_plant,av_dprime_plant_upper,av_dprime_plant_lower,av_dprime_poll,av_dprime_poll_upper,av_dprime_poll_lower,H2prime
Leipzig,12,0.26094932372593743,0.6107700752101479,0.09019893909119785,0.36774598072432607,0.6050139402502491,0.2581561298435625,0.6713504800478193
Halle,13,0.12467595966964833,0.35058166701886245,0.003620236425577647,0.1470520963166453,0.1729125246530839,0.13555835315208836,0.4601045231175266
Halle,14,0.12336517736491252,0.4256239848352775,0.005228270621412952,0.5559408593760301,0.694875966808692,0.2160858411636558,0.5938464991875634
Jena,14,0.13119637560909458,0.26127476760505686,0.0031954641929312264,0.2202628797343746,0.5082817539789496,0.1911406054908743,0.5163100232234247
Leipzig,14,0.5054181428292909,0.967365767390678,0.33445059603361427,0.26160923764873817,0.7443442043495289,0.11359436453923034,0.7812968860042838
Halle,15,0.0685875790302141,0.11689075764392301,0,0.25586631083704936,0.4894538498019599,0.0269291924491098,0.37475923327324284
Leipzig,15,0.004657844328492487,0.03930520313191497,0,0.0636512200260375,0.4755681187082035,0.07111751167203122,0.46830732884797993
Jena,15,0.008459013875446095,0.012511397063456723,0,0.014040145718358644,0.013741995905806628,3.523588693796558e-4,0
Halle,16,0.17312493194232853,0.32520272868800115,0.07969231245089359,0.4147775092606107,0.6420141014470361,0.05384600150921443,0.49592288077625574
Leipzig,16,0.14453043127592144,0.35358024978110303,0.06692123677286124,0.21740486597231162,0.7004612731263219,0.19119007903775137,0.4179094489028111
Jena,17,0.05083502478044831,0.1616071283102176,0.01080441777382107,0.16011106967991096,0.1823855061480053,0,0.2021500254173609
Halle,17,0.08285623288285708,0.32117520140508554,0.007167149519813928,0.2191903743204208,0.24791251064263586,7.589343527143832e-4,0.26804895186621785
Leipzig,17,0.06597806879930063,0.2997261444386175,0.0024067530269631042,0.22664331199920806,0.38697024915529726,0.12414823516771704,0.5997363282133003
Jena,18,0.15554073320741046,0.49858849113737685,0.0676012879331816,0.17294722057481574,0.5006371160911219,0.018736668435256926,0.6069751308075457
Halle,18,0.11826924312424213,0.7020926803001943,0.046626629826780175,0.24127960099044704,0.6270519646118831,0,0.3852496613500733
Leipzig,18,0.16635418964324125,0.5841558695706665,0.020670740749358124,0.1794288640500066,0.9414607008379081,0.11891667123709623,0.6633447917286197
Halle,19,0.155599336439049,0.5474321913264608,0.06485004314374444,0.38014584368919907,0.5503751169464384,0.07089870893935397,0.6912836821472754
Jena,19,0.20105812457197672,0.8062045099581472,0.061929458803869915,0.5016096775566214,0.6356982991206732,0.023827986784773506,0.8237646708431651
Leipzig,19,0.2751019995296189,0.9428900929336864,0.03222299362879113,0.2885506247009236,0.6842428369401962,0.00977511139938665,0.6292296330258911
Halle,20,0.08905906772534466,0.20111260566279787,0.018774571577061694,0.327953825213492,0.709462954382829,0.04167508947531951,0.6237209470673657
Leipzig,20,0.1595474938089609,0.37339724773124616,0,0.306428210722247,0.6173624699693886,0.042260939389522856,0.5725833853541741
Jena,20,0.0929805326368873,0.9149814077600928,0,0.21837053150112254,0.8207756242722395,0.03441008786306897,0.8085022649950694
Jena,21,0.08638119601863646,1,2.5425783300722676e-4,0.16593356680733712,0.9317078453777936,0.134935996716204,0.5673239931714421
Leipzig,21,0.04651952128909584,0.9247515066268609,0,0.08433051893298969,0.8149041782547367,0.012141009673887935,0.43640529648986676
Halle,21,0.11961450123521733,0.7049798939796441,0.0772556090233193,0.31326472267420213,0.9208817479740913,0.15512748089599115,0.48747309754337576
Jena,22,0.056917198972692526,0.6286681874846496,0,0.18545846173576527,0.6427362648076627,0.13157701602057653,0.28204277218484297
Halle,22,0.12087200926713568,0.5409488251845682,0.08108955111812544,0.11307371395640947,0.8078339718249954,0.018888636442937805,0.3440748591905757
Leipzig,22,0.06081754646006841,0.7942201214189912,0.03189686028223278,0.10572079046787138,0.7257412572177239,0.07211097177658268,0.33157371520927503
Jena,23,0.13742868014678083,0.8123750331256544,0.025192986778180177,0.13461198562733062,0.8408870241446323,0.08942379829233277,0.5759588498813581
Halle,23,0.049198250921977604,0.6020795018238667,0.024930065830355418,0.2590964548495093,0.6206502008603468,0.04561431818474605,0.25348867181777457
Leipzig,23,0.056930398758143146,0.5650784099193581,0.02225992780222027,0.24001939799968686,0.596970893933037,0.19011528446340592,0.4557900718348845
Jena,24,0.13022325743844695,0.41653112199844367,0.012247664410723974,0.22364353567077042,0.8474869307045387,0,0.6596320312632805
Halle,24,0.10736134014870104,0.3846676975156591,0.035697785066934606,0.14166346096418397,0.2994018093013479,0.13713024180292985,0.5822713912293409
Leipzig,24,0.10190687964513712,0.2388709487188017,0.04863777600385799,0.2829570267671351,0.5117314854464665,0.04822162537953889,0.45984337269227404
Jena,25,0.1796853263879375,0.3373342102480962,0.1139728525144165,0.18146278540521502,0.6660792466964955,0,0.6721179322071467
Leipzig,25,0.10162906362172269,0.49197639214812383,0.04685526996174891,0.17532376128507476,0.2754104671072326,0,0.5630138878320284
Halle,25,0.1072143920970481,0.18264762688449637,0.09050594654346474,0.10931760057049823,0.4435296559359828,0.005287699426861049,0.3141934346797708
Halle,26,0.11996243355272933,0.5729127194671692,0.022564170452507634,0.12988527193368105,0.5772450842347143,0.005812141840146888,0.4630477749470252
Leipzig,26,0.12216899026257463,0.3892037372049743,0.03541440838029915,0.12553359597038677,0.6294046965146112,0,0.29792774487965773
Jena,26,0.1251788668968308,0.5414937197392565,0.04019663654554091,0.09563327395094079,0.6704752968479113,0.008301034767808711,0.43807088347450857
Leipzig,27,0.15537531761090345,0.35185864900861824,0.05364210884934208,0.0936059346839292,0.6133645789399607,0.08076381813264215,0.2733120919690156
Jena,27,0.138455721157875,0.22174158978594857,0.07836548381281322,0.12938750303271304,0.4661659052919402,0.06441176610075007,0.4449621828769444
Halle,27,0.16871457083037134,0.36468395880577353,0.0769215591721524,0.09632775704268162,0.8417458460254791,0.09056208965202417,0.7786471037334073
Leipzig,28,0.046572624103522885,0.715659564470055,0.004566327082533579,0.01834738497305287,0.5802444056429644,0.00259453529261629,0.19597884384533573
Jena,28,0.1395538785504202,0.8487544398980256,0.054253432126853865,0.07144137219364145,0.8748872613004052,0.007550620455926095,0.8606438674011445
Halle,28,0.16784515553873158,0.60298083186946,0.12001979777678823,0.0657279351049261,0.8109035159745424,0.03882830133137338,0.8027519474960695
Leipzig,29,0.11709976269837473,0.3330648261572106,0.06666188639779115,0.12139496223744776,0.4488623672278774,0.04850688042261222,0.5127485068028189
Jena,29,0.11902347499962437,0.16131155246245954,0.053892119096946973,0.06217584370408762,0.1876945782056853,0,0.8488106437120233
Halle,29,0.2099538252844935,0.5387823432492624,0.15347823753577808,0.09154542765977687,0.7593759395911783,0.021922521466328428,0.770043216930534
Jena,31,0.14147357744376513,0.9089083047792563,0.043929922517031275,0.09638982529098825,0.9955964409528019,0.08792681349349345,0.6414207951993794
Halle,31,0.19941741081135053,0.41845629922823757,0.12129832110636675,0.2647380736673041,0.6764908865637511,0.090473586735526,0.5434220520151544
Leipzig,31,0.09276124517175739,0.7758444985713312,0.055697066062293875,0.11567686770027125,0.8257149523291297,0.11924919622893276,0.6577156953563631
Jena,32,0.1943639901735553,0.3020029058332986,0.024947865815228554,0.1811069539224036,0.4916328667295179,0.09986755659365257,0.6831200267674166
Halle,32,0.18548522086401914,0.6676945613330957,0.11084519302056697,0.12217512697167048,0.7406895115475525,0.03520278460203905,0.5974638219842489
Jena,33,0.18580222531974888,0.33526553091518924,0.16321331887670568,0.05797538020296467,0.5483475254608857,0.0011729647900138574,0.7616461448409889
Leipzig,32,0.05760059085659837,0.0999419237248422,0.0038947056944371398,0.37261253252735965,0.7765531248481952,0.258465126381595,0.2563849406010522
Leipzig,33,0.08729161199311872,0.24754356242177825,0.05172767946359983,0.12580116470719716,0.1587985614936809,0.04928042660784606,0.6579283110272869
Halle,33,0.17952664067430993,0.33694554909291036,0.05928562330295663,0.12482385347085964,0.42276508292427534,0.028031507835916764,0.5053254637456052
Leipzig,34,0.019745974296081683,0.03975600233619155,0.007111259700119427,0.2451534925283656,0.5544096202627142,0.0441816126221353,0.20449253016414537
Halle,34,0.181372500943477,0.3120124867380635,0.15148080679977488,0.1726270247313578,0.4856359252676081,0.06372659358211535,0.5710733417827266
