Botanical_garden,Week,av_dprime_plant,av_dprime_plant_upper,av_dprime_plant_lower,av_dprime_poll,av_dprime_poll_upper,av_dprime_poll_lower,H2prime
Leipzig,12,0.6671461986859796,1.0000000000000002,0.2654869005559247,0.8465059830387055,1.0000000000000004,0.09432227957816149,0.857365362508883
Halle,13,0.6497138777892376,0.816223105757927,0.16832449667521668,0.5173032539522943,0.8665164639067852,0.30427228889025715,0.8048663184834529
Halle,14,0.4742650218867402,0.627689235457644,0,0.6810105329427759,0.7570177096404946,0.04956492182583937,0.6673620176474303
Jena,14,0.6022218162468851,0.7329311958802963,0.04977160364805619,0.604694323547355,0.7126604265700393,0.2090171967252304,0.7299164755313405
Leipzig,14,0.5711558723624808,0.8820269271515928,0.30272949758165757,0.4314999375324578,0.9674764146012576,0.24861082912276758,0.7856961925197841
Halle,15,0.44420652267362115,0.9051960838223376,0.022762777336620854,0.6065651346548326,0.9300857630076291,0.015049943938605684,0.661591778914149
Leipzig,15,0.2417570151165893,0.41712729741662136,0.0063847882863811945,0.29053087380518733,0.7759494665162111,0.21287258067964254,0.5114838283723678
Jena,15,0.018528263854334603,1,0,1.000000000000009,1.0000000000000087,1,1
Halle,16,0.6380387466692331,0.9344764128523936,0.28505246147167185,0.6954741664958666,0.9117868985450435,0.03286798191364607,0.7634134086601772
Leipzig,16,0.5110936875007073,1,0.31926941304656786,0.6128456182159102,1,0.1283776282241549,0.6713901956293185
Jena,17,0.6847412177512384,0.846731470584058,0.16186104101883714,0.6267481745619189,0.8738208663561284,0.25015824721084323,0.6715628520712661
Halle,17,0.4637928176024256,0.7358979143356156,0.08204605246538946,0.5213598821908582,0.7028058217756357,0.13783055973541372,0.5915161921775804
Leipzig,17,0.425523454939903,0.8989664221444508,0.020153293733639624,0.5360177608073263,0.9586290796937658,0.39676400238638665,0.5749919385152217
Jena,18,0.5437636705820185,0.7213417180701935,0.1677357619711834,0.6569292660826249,0.8211568694100801,0.05528319235989617,0.663574160871586
Halle,18,0.5467239095934426,1,0.14930810228516633,0.8235008668493117,0.983957223148226,0.20814289747059295,0.8375276637450785
Leipzig,18,0.7072503673095033,1,0.10422764122350096,0.7158504408840202,0.9684025416909691,0.27083841308965073,0.7805749515711378
Halle,19,0.6403289344874035,0.9897201002007332,0.09635296239990178,0.8011688214380945,0.9504448844086602,0.19219831914353636,0.7985846919965884
Jena,19,0.5905151259058575,1,0.34519967509239247,0.7225213829229171,1,0.5156887254538949,0.8339647732338629
Leipzig,19,0.7416978042338352,1,0,0.7753360499450499,0.976549438492972,0.21286858292317973,0.789399016226781
Halle,20,0.867491145880383,0.9957530811916957,0.1358861354364337,0.9578827909089542,0.97296819890255,0.26003876497715916,0.9620920559913696
Leipzig,20,0.6186495179135278,1,0.11489279483745818,0.7598239667618508,1,0.35907996700663336,0.794082748499726
Jena,20,0.40112340641025857,1,0.0032458371336662696,0.7607277537467132,1,0.3225712715984176,0.8232549616653355
Jena,21,0.6453599150645181,1,0.3745696734389059,0.6122375922979862,1,0.3686463890570975,0.6991453957936831
Leipzig,21,0.5109222927927274,1,0.03891938838696513,0.6866732112236219,1,0.15498917148871078,0.7185121486209105
Halle,21,0.6342826206149677,0.9920098653283598,0.191900981639057,0.4850462790476312,0.9787142959705292,0.16297975497845266,0.7588293641881687
Jena,22,0.7335495224459608,1,0.12420898112977227,0.7406692800491762,1,0.296894404586738,0.7924256341968754
Halle,22,0.5449518831550532,0.9893648010049695,0.37526571218237825,0.3535045281029783,0.9841877366885659,0.02012261737142328,0.6028891471212793
Leipzig,22,0.3967803582214812,0.970682355251916,0.0813738573677402,0.5671554845318708,0.9580011691340766,0.2008551035360247,0.6028308320945156
Jena,23,0.8049808310375464,1,0.25560998609714297,0.8101344735937396,1,0.3846094871226378,0.8783309832548619
Halle,23,0.589715133653454,1,0.25962847181495063,0.6662111441031449,1,0.12221248263239418,0.7384970409799149
Leipzig,23,0.2756635964151402,0.9702233087187335,0.044712931549821214,0.3752357618637186,0.9255661898282542,0.06845670054515057,0.5744700878081055
Jena,24,0.6997848453638632,0.9438899201533568,0.2204204422288132,0.7105276004919829,0.9669312256994835,0.0702281297835379,0.7588630041272247
Halle,24,0.4608845205333198,1,0.18124044094827566,0.5984313320882851,1,0.1924418388322678,0.696897524943128
Leipzig,24,0.5151407545095265,0.9675232336498086,0.12436983422520993,0.42327558773125956,0.8631717142218168,0.316537039908168,0.6193575054771904
Jena,25,0.7039955001636388,0.9823795995209251,0.36742532301388287,0.7333169701968492,0.9327363207339194,0.15773669493038478,0.7796260340597868
Leipzig,25,0.4964794037813207,0.9432337133041446,0.07565628578130437,0.4051997202713408,0.9076578610384182,0.10556923334127247,0.6504658223823099
Halle,25,0.566844336580123,0.9815782672827218,0.3175066711267752,0.5080566719575204,0.9909171270199398,0.06913991739268488,0.6248449989287503
Halle,26,0.6498190734384889,0.7373554715841409,0.049611121916550996,0.34628188826139517,0.8973514209962653,0.10697828672901101,0.6105990362008803
Leipzig,26,0.4505653931354842,0.9477411006136454,0.08271975490901134,0.16047230783962593,0.7948539724207676,0.07590629294833946,0.5074949683200288
Jena,26,0.7366173305253553,0.9815981049506766,0.347280564514446,0.7407389024888886,0.9830066559558481,0.29277302253795207,0.7594982067545498
Leipzig,27,0.5024442859426211,0.9425738619776582,0.17824419579426765,0.25983601075529433,0.8698033038413895,0.08867876029957467,0.6477729049892712
Jena,27,0.6800171278744951,0.9003995471323778,0.19503173118954553,0.6467515245542008,0.9180214645399974,0,0.7180623444904068
Halle,27,0.8969238907604185,0.9812145912839297,0.4433376778471627,0.10046468820985321,0.8788685431445673,0.0020153217679657067,0.8957608325233842
Leipzig,28,0.43122336258556404,0.9962315845127787,0.11177995280539604,0.2514501531988846,0.9925958364296328,0.012449312706098864,0.44829216940174155
Jena,28,0.7897967323598227,1,0.2430182298322523,0.533334294494244,1,0.08351956491909586,0.793994079461658
Halle,28,0.8426161924832909,0.997230934125245,0.3333323323942721,0.5038971497898767,0.948423907745167,0.1143014820566016,0.8123013747917058
Leipzig,29,0.6869964454276943,1,0.2466614565795822,0.416392144922023,1,0.11890205614297691,0.7431042115238012
Jena,29,0.7271574846456804,0.9540381824301062,0.3150316551811622,0.1868465481653534,0.9432107134864605,0,0.8122588072419623
Halle,29,0.8108978525832877,0.9711899512726133,0.4951769674550238,0.5955194869447461,0.9018208825204261,0.08753813465727275,0.892750042801369
Jena,31,0.7556169545999457,0.9924352815941966,0.09389278899177977,0.11022933960536833,0.9956730923633013,0,0.795212647974132
Halle,31,0.7657546941231578,0.9439069678300902,0.2728384001993957,0.39569497919131574,0.9086461947447065,0.09315113472341195,0.7610024593462191
Leipzig,31,0.6121835789844552,0.9644061912883575,0.2002980436204939,0.5960686495348716,0.9632032228404019,0.17893934625029734,0.7830725947910049
Jena,32,0.5166285574043478,0.9420574796670556,0.24367496024669408,0.46250040996520764,0.8408124732647441,0.22233089047049615,0.6321960117061954
Halle,32,0.777811995659552,0.9242770619868799,0.24221754751856278,0.45589872600116366,0.9039334099514958,0.04385846913943647,0.7770300174356903
Jena,33,0.6495861749458389,0.8718679429438443,0.34280651787856387,0.3381658947909316,0.8581726715834057,0.004606957266509689,0.7152175812777922
