Botanical_garden,Pollinator,Total_visited_plant_richness,Total_plant_richness,percentage_vivited_plant_sp
Halle,Andrenidae,15,44,0.3409090909090909
Halle,Anthomyiidae,1,44,0.022727272727272728
Halle,Apidae,41,44,0.9318181818181818
Halle,Bombyliidae,13,44,0.29545454545454547
Halle,Buprestidae,1,44,0.022727272727272728
Halle,Calliphoridae,14,44,0.3181818181818182
Halle,Cerambycidae,2,44,0.045454545454545456
Halle,Chrysididae,1,44,0.022727272727272728
Halle,Coccinellidae,5,44,0.11363636363636363
Halle,Colletidae,10,44,0.22727272727272727
Halle,Conopidae,2,44,0.045454545454545456
Halle,Crabronidae,8,44,0.18181818181818182
Halle,Dermestidae,3,44,0.06818181818181818
Halle,Eumenidae,4,44,0.09090909090909091
Halle,Formicidae,1,44,0.022727272727272728
Halle,Halictidae,24,44,0.5454545454545454
Halle,Lycaenidae,1,44,0.022727272727272728
Halle,Megachilidae,25,44,0.5681818181818182
Halle,Melittidae,2,44,0.045454545454545456
Halle,Melyridae,1,44,0.022727272727272728
Halle,Muscidae,1,44,0.022727272727272728
Halle,Nymphalidae,9,44,0.20454545454545456
Halle,Oedemeridae,5,44,0.11363636363636363
Halle,Pieridae,11,44,0.25
Halle,Polleniidae,3,44,0.06818181818181818
Halle,Pyrrhocoridae,2,44,0.045454545454545456
Halle,Sapygidae,1,44,0.022727272727272728
Halle,Sarcophagidae,5,44,0.11363636363636363
Halle,Scarabaeidae,16,44,0.36363636363636365
Halle,Scoliidae,5,44,0.11363636363636363
Halle,Sphecidae,3,44,0.06818181818181818
Halle,Sphingidae,1,44,0.022727272727272728
Halle,Syrphidae,21,44,0.4772727272727273
Halle,Tachinidae,6,44,0.13636363636363635
Halle,Tiphiidae,1,44,0.022727272727272728
Halle,Vespidae,7,44,0.1590909090909091
Jena,Andrenidae,5,36,0.1388888888888889
Jena,Anthomyiidae,4,36,0.1111111111111111
Jena,Apidae,34,36,0.9444444444444444
Jena,Bombyliidae,8,36,0.2222222222222222
Jena,Calliphoridae,11,36,0.3055555555555556
Jena,Chrysomelidae,1,36,0.027777777777777776
Jena,Cleridae,1,36,0.027777777777777776
Jena,Coccinellidae,2,36,0.05555555555555555
Jena,Colletidae,11,36,0.3055555555555556
Jena,Conopidae,1,36,0.027777777777777776
Jena,Crabronidae,3,36,0.08333333333333333
Jena,Dermestidae,1,36,0.027777777777777776
Jena,Eumenidae,4,36,0.1111111111111111
Jena,Halictidae,9,36,0.25
Jena,Lauxaniidae,1,36,0.027777777777777776
Jena,Lycaenidae,2,36,0.05555555555555555
Jena,Megachilidae,16,36,0.4444444444444444
Jena,Melittidae,1,36,0.027777777777777776
Jena,Noctuidae,1,36,0.027777777777777776
Jena,Nymphalidae,5,36,0.1388888888888889
Jena,Oedemeridae,2,36,0.05555555555555555
Jena,Pentatomidae,1,36,0.027777777777777776
Jena,Pieridae,8,36,0.2222222222222222
Jena,Pyrrhocoridae,1,36,0.027777777777777776
Jena,Sarcophagidae,2,36,0.05555555555555555
Jena,Scarabaeidae,2,36,0.05555555555555555
Jena,Sphecidae,1,36,0.027777777777777776
Jena,Sphingidae,3,36,0.08333333333333333
Jena,Syrphidae,22,36,0.6111111111111112
Jena,Tachinidae,5,36,0.1388888888888889
Jena,Tephritidae,1,36,0.027777777777777776
Jena,Vespidae,6,36,0.16666666666666666
Leipzig,Andrenidae,15,42,0.35714285714285715
Leipzig,Anthomyiidae,4,42,0.09523809523809523
Leipzig,Apidae,40,42,0.9523809523809523
Leipzig,Bombyliidae,14,42,0.3333333333333333
Leipzig,Calliphoridae,11,42,0.2619047619047619
Leipzig,Cerambycidae,8,42,0.19047619047619047
Leipzig,Chrysididae,3,42,0.07142857142857142
Leipzig,Coccinellidae,5,42,0.11904761904761904
Leipzig,Colletidae,7,42,0.16666666666666666
Leipzig,Conopidae,5,42,0.11904761904761904
Leipzig,Crabronidae,7,42,0.16666666666666666
Leipzig,Crambidae,1,42,0.023809523809523808
Leipzig,Eumenidae,1,42,0.023809523809523808
Leipzig,Halictidae,14,42,0.3333333333333333
Leipzig,Lycaenidae,4,42,0.09523809523809523
Leipzig,Lygaeidae,2,42,0.047619047619047616
Leipzig,Megachilidae,18,42,0.42857142857142855
Leipzig,Melittidae,2,42,0.047619047619047616
Leipzig,Nymphalidae,2,42,0.047619047619047616
Leipzig,Oedemeridae,3,42,0.07142857142857142
Leipzig,Pentatomidae,1,42,0.023809523809523808
Leipzig,Pieridae,6,42,0.14285714285714285
Leipzig,Platystomatidae,1,42,0.023809523809523808
Leipzig,Sarcophagidae,1,42,0.023809523809523808
Leipzig,Scarabaeidae,6,42,0.14285714285714285
Leipzig,Sphecidae,1,42,0.023809523809523808
Leipzig,Syrphidae,16,42,0.38095238095238093
Leipzig,Tachinidae,3,42,0.07142857142857142
Leipzig,Tiphiidae,1,42,0.023809523809523808
