Botanical_garden,Pollinator,Week,Total_visited_plant_richness,Total_plant_richness,percentage_vivited_plant_sp
Halle,Aglais io,14,2,13,0.15384615384615385
Halle,Aglais io,16,1,13,0.07692307692307693
Halle,Aglais io,28,1,20,0.05
Halle,Aglais urticae,14,1,13,0.07692307692307693
Halle,Ammophila sabulosa,28,1,20,0.05
Halle,Ammophila sabulosa,29,1,17,0.058823529411764705
Halle,Ancistrocerus claripennis,28,1,20,0.05
Halle,Ancistrocerus gazella,28,1,20,0.05
Halle,Ancistrocerus gazella,32,1,15,0.06666666666666667
Halle,Ancistrocerus gazella,33,1,19,0.05263157894736842
Halle,Ancistrocerus nigricornis,25,1,16,0.0625
Halle,Andrena bicolor,14,1,13,0.07692307692307693
Halle,Andrena bicolor,15,1,14,0.07142857142857142
Halle,Andrena bicolor,29,1,17,0.058823529411764705
Halle,Andrena flavipes,14,3,13,0.23076923076923078
Halle,Andrena flavipes,15,1,14,0.07142857142857142
Halle,Andrena flavipes,25,1,16,0.0625
Halle,Andrena flavipes,27,1,16,0.0625
Halle,Andrena flavipes,28,3,20,0.15
Halle,Andrena flavipes,29,3,17,0.17647058823529413
Halle,Andrena hattorfiana,25,1,16,0.0625
Halle,Andrena hattorfiana,26,1,18,0.05555555555555555
Halle,Andrena minutula,13,1,5,0.2
Halle,Andrena minutula,17,2,15,0.13333333333333333
Halle,Andrena minutuloides,32,1,15,0.06666666666666667
Halle,Andrena minutuloides,34,1,15,0.06666666666666667
Halle,Andrena pilipes,25,1,16,0.0625
Halle,Andrena pilipes,29,1,17,0.058823529411764705
Halle,Andrena strohmella,14,5,13,0.38461538461538464
Halle,Anthaxia nitidula,25,1,16,0.0625
Halle,Anthidium manicatum,22,2,13,0.15384615384615385
Halle,Anthidium manicatum,23,3,17,0.17647058823529413
Halle,Anthidium manicatum,25,6,16,0.375
Halle,Anthidium manicatum,26,1,18,0.05555555555555555
Halle,Anthidium manicatum,27,2,16,0.125
Halle,Anthidium manicatum,31,3,20,0.15
Halle,Anthidium manicatum,32,2,15,0.13333333333333333
Halle,Anthidium oblongatum,26,1,18,0.05555555555555555
Halle,Anthidium oblongatum,27,1,16,0.0625
Halle,Anthidium oblongatum,28,1,20,0.05
Halle,Anthidium oblongatum,34,2,15,0.13333333333333333
Halle,Anthocharis cardamines,16,2,13,0.15384615384615385
Halle,Anthocharis cardamines,18,1,16,0.0625
Halle,Anthocharis cardamines,19,1,15,0.06666666666666667
Halle,Anthocharis cardamines,20,1,14,0.07142857142857142
Halle,Anthomyia procellaris,28,1,20,0.05
Halle,Anthophora aestivalis,18,1,16,0.0625
Halle,Anthophora aestivalis,23,1,17,0.058823529411764705
Halle,Anthophora aestivalis,24,1,16,0.0625
Halle,Anthophora furcata,31,1,20,0.05
Halle,Anthophora plumipes,13,3,5,0.6
Halle,Anthophora plumipes,14,7,13,0.5384615384615384
Halle,Anthophora plumipes,15,9,14,0.6428571428571429
Halle,Anthophora plumipes,16,7,13,0.5384615384615384
Halle,Anthophora plumipes,17,6,15,0.4
Halle,Anthophora plumipes,18,5,16,0.3125
Halle,Anthophora plumipes,19,9,15,0.6
Halle,Anthophora plumipes,20,3,14,0.21428571428571427
Halle,Anthophora plumipes,21,3,12,0.25
Halle,Anthophora plumipes,22,4,13,0.3076923076923077
Halle,Anthophora plumipes,23,2,17,0.11764705882352941
Halle,Anthophora quadrimaculata,22,2,13,0.15384615384615385
Halle,Anthophora quadrimaculata,23,4,17,0.23529411764705882
Halle,Anthophora quadrimaculata,24,3,16,0.1875
Halle,Anthophora quadrimaculata,25,3,16,0.1875
Halle,Anthophora quadrimaculata,27,2,16,0.125
Halle,Anthrenus scrophulariae,18,1,16,0.0625
Halle,Anthrenus verbasci,23,1,17,0.058823529411764705
Halle,Anthrenus verbasci,24,1,16,0.0625
Halle,Apis mellifera,13,2,5,0.4
Halle,Apis mellifera,14,4,13,0.3076923076923077
Halle,Apis mellifera,15,4,14,0.2857142857142857
Halle,Apis mellifera,16,5,13,0.38461538461538464
Halle,Apis mellifera,17,8,15,0.5333333333333333
Halle,Apis mellifera,18,4,16,0.25
Halle,Apis mellifera,19,4,15,0.26666666666666666
Halle,Apis mellifera,20,5,14,0.35714285714285715
Halle,Apis mellifera,21,4,12,0.3333333333333333
Halle,Apis mellifera,22,6,13,0.46153846153846156
Halle,Apis mellifera,23,3,17,0.17647058823529413
Halle,Apis mellifera,24,7,16,0.4375
