Plant_accepted_name,Plant_genus,Plant_family,Plant_order,Leipzig,Halle,Jena,Total_sampling_time
Achillea filipendulina,Achillea,Asteraceae,Asterales,6,3,9,18
Aconitum lycoctonum,Aconitum,Ranunculaceae,Ranunculales,0,3,0,3
Aegonychon purpurocaeruleum,Aegonychon,Boraginaceae,Boraginales,0,6,0,6
Allium cernuum,Allium,Amaryllidaceae,Asparagales,0,6,3,9
Allium tuberosum,Allium,Amaryllidaceae,Asparagales,0,6,3,9
Allium turkestanicum,Allium,Amaryllidaceae,Asparagales,0,3,0,3
Alyssum saxatile,Alyssum,Brassicaceae,Brassicales,0,3,0,3
Anthriscus sylvestris,Anthriscus,Apiaceae,Apiales,0,3,0,3
Arabis alpina,Arabis,Brassicaceae,Brassicales,0,3,3,6
Asclepias syriaca,Asclepias,Apocynaceae,Gentianales,0,3,0,3
Asparagus oligoclonos,Asparagus,Asparagaceae,Asparagales,0,3,0,3
Astragalus alopecurus,Astragalus,Fabaceae,Fabales,0,3,0,3
Aubrieta deltoidea,Aubrieta,Brassicaceae,Brassicales,0,6,3,9
Aubrieta olympica,Aubrieta,Brassicaceae,Brassicales,0,3,0,3
Aubrieta parviflora,Aubrieta,Brassicaceae,Brassicales,0,3,0,3
Aubrieta pinardii,Aubrieta,Brassicaceae,Brassicales,0,3,24,27
Ballota nigra,Ballota,Lamiaceae,Lamiales,0,3,0,3
Baptisia australis,Baptisia,Fabaceae,Fabales,0,6,6,12
Barbarea vulgaris,Barbarea,Brassicaceae,Brassicales,0,3,0,3
Bellis perennis,Bellis,Asteraceae,Asterales,6,3,6,15
Bupleurum aureum,Bupleurum,Apiaceae,Apiales,0,3,0,3
Campanula poscharskyana,Campanula,Campanulaceae,Asterales,0,3,0,3
Centaurea cyanus,Centaurea,Asteraceae,Asterales,0,3,0,3
Cephalaria uralensis,Cephalaria,Caprifoliaceae,Dipsacales,3,6,0,9
Cerinthe minor,Cerinthe,Boraginaceae,Boraginales,0,6,0,6
Chrysojasminum fruticans,Chrysojasminum,Oleaceae,Lamiales,0,3,0,3
Cistus salviifolius,Cistus,Cistaceae,Malvales,0,3,0,3
Clinopodium nepeta,Clinopodium,Lamiaceae,Lamiales,0,6,0,6
Corydalis cava,Corydalis,Papaveraceae,Ranunculales,3,34,11,48
Cosmos sulphureus,Cosmos,Asteraceae,Asterales,0,6,0,6
Cotoneaster adpressus,Cotoneaster,Rosaceae,Rosales,0,3,0,3
Crambe maritima,Crambe,Brassicaceae,Brassicales,0,3,0,3
Cylindropuntia imbricata,Cylindropuntia,Cactaceae,Caryophyllales,0,3,0,3
Daucus carota,Daucus,Apiaceae,Apiales,0,3,3,6
Delosperma cooperi,Delosperma,Aizoaceae,Caryophyllales,0,3,0,3
Delphinium elatum,Delphinium,Ranunculaceae,Ranunculales,0,3,0,3
Digitalis purpurea,Digitalis,Plantaginaceae,Lamiales,0,3,0,3
Drymocallis rupestris,Drymocallis,Rosaceae,Rosales,0,6,0,6
Erodium cicutarium,Erodium,Geraniaceae,Geraniales,0,3,0,3
Eryngium caeruleum,Eryngium,Apiaceae,Apiales,0,3,0,3
Eryngium maritimum,Eryngium,Apiaceae,Apiales,0,3,0,3
Eryngium planum,Eryngium,Apiaceae,Apiales,0,3,0,3
Erysimum pulchellum,Erysimum,Brassicaceae,Brassicales,3,3,0,6
