Botanical_garden,Season,Plant,Total_floral_abundance
Halle,Early,Allium ursinum,300
Halle,Early,Chelidonium majus,400
Halle,Early,Fragaria vesca,175
Halle,Early,Geum rivale,153
Halle,Early,Iberis sempervirens,171000
Halle,Early,Lamium album,1575
Halle,Early,Lathyrus vernus,8630
Halle,Early,Narcissus pseudonarcissus,33
Halle,Early,Oxalis acetosella,150
Halle,Early,Paeonia officinalis,1
Halle,Early,Polygonum bistorta,65
Halle,Early,Primula denticulata,5
Halle,Early,Primula veris,572
Halle,Early,Puschkinia scilloides,800
Halle,Early,Scopolia carniolica,80
Halle,Early,Silene viscaria,1120
Halle,Early,Tulipa sylvestris,160
Halle,Early,Viola odorata,350
Halle,Late,Achillea millefolium,43750
Halle,Late,Centranthus ruber,12770
Halle,Late,Clematis integrifolia,559
Halle,Late,Clematis recta,3821
Halle,Late,Dianthus carthusianorum,670
Halle,Late,Fuchsia magellanica,1160
Halle,Late,Galega officinalis,2000
Halle,Late,Helianthemum nummularium,50
Halle,Late,Hemerocallis fulva,30
Halle,Late,Hypericum perforatum,36
Halle,Late,Lavandula angustifolia,22100
Halle,Late,Lotus corniculatus,201
Halle,Late,Origanum vulgare,3750
Halle,Late,Platycodon grandiflorus,624
Halle,Late,Saponaria officinalis,330
Halle,Late,Solanum dulcamara,8
Halle,Late,Tanacetum vulgare,8830
Halle,Late,Vincetoxicum hirundinaria,657
Halle,Mid,Achillea millefolium,2000
Halle,Mid,Aconitum lycoctonum,785
Halle,Mid,Betonica officinalis,1000
Halle,Mid,Centranthus ruber,4150
Halle,Mid,Chelidonium majus,200
Halle,Mid,Dictamnus albus,490
Halle,Mid,Fragaria vesca,22
Halle,Mid,Galega officinalis,2400
Halle,Mid,Geum rivale,100
Halle,Mid,Gratiola officinalis,500
Halle,Mid,Helianthemum nummularium,400
Halle,Mid,Hypericum olympicum,750
Halle,Mid,Hypericum perforatum,100
Halle,Mid,Lamium album,425
Halle,Mid,Lathyrus vernus,650
Halle,Mid,Lavandula angustifolia,42500
Halle,Mid,Leucanthemum vulgare,400
Halle,Mid,Lotus corniculatus,575
Halle,Mid,Salvia officinalis,17340
Halle,Mid,Solanum dulcamara,242
Jena,Early,Allium ursinum,1450
Jena,Early,Asphodelus albus,116
Jena,Early,Bergenia purpurascens,21
Jena,Early,Brunnera macrophylla,1000
Jena,Early,Chelidonium majus,138
Jena,Early,Geranium sanguineum,35
Jena,Early,Geum rivale,270
Jena,Early,Hepatica nobilis,306
Jena,Early,Iberis sempervirens,22600
Jena,Early,Lamium album,100
Jena,Early,Lathyrus vernus,2410
Jena,Early,Paeonia delavayi,66
Jena,Early,Paeonia officinalis,27
Jena,Early,Primula denticulata,300
Jena,Early,Primula veris,300
Jena,Early,Pulsatilla vulgaris,12
Jena,Early,Silene viscaria,600
Jena,Early,Vinca minor,150
Jena,Late,Achillea millefolium,5118
Jena,Late,Anemone hupehensis,623
Jena,Late,Betonica officinalis,1368
Jena,Late,Coronilla varia,8589
Jena,Late,Fuchsia magellanica,156
Jena,Late,Galega officinalis,2205
Jena,Late,Genista tinctoria,960
Jena,Late,Hypericum perforatum,118
Jena,Late,Lavandula angustifolia,35350
Jena,Late,Linum perenne,60
Jena,Late,Lotus maritimus,21
Jena,Late,Origanum vulgare,1960
Jena,Late,Vincetoxicum hirundinaria,30
Jena,Mid,Achillea millefolium,1490
Jena,Mid,Aquilegia vulgaris,30
Jena,Mid,Asphodelus albus,500
Jena,Mid,Brunnera macrophylla,173
Jena,Mid,Campanula rotundifolia,78
Jena,Mid,Chelidonium majus,75
Jena,Mid,Clematis recta,1350
Jena,Mid,Coronilla varia,1728
Jena,Mid,Dictamnus albus,144
Jena,Mid,Galega officinalis,2400
Jena,Mid,Genista tinctoria,1500
Jena,Mid,Geranium sanguineum,235
Jena,Mid,Hypericum olympicum,72
Jena,Mid,Hypericum perforatum,90
Jena,Mid,Iberis sempervirens,2250
Jena,Mid,Lamium album,690
Jena,Mid,Lavandula angustifolia,2300
Jena,Mid,Leucanthemum vulgare,400
Jena,Mid,Linum perenne,371
Jena,Mid,Lotus maritimus,30
Jena,Mid,Paeonia delavayi,35
Jena,Mid,Salvia pratensis,276
Jena,Mid,Silene nutans,172
Jena,Mid,Silene viscaria,1012
Jena,Mid,Vincetoxicum hirundinaria,1145
Leipzig,Early,Allium ursinum,2250
Leipzig,Early,Anemonoides nemorosa,60
Leipzig,Early,Anemonoides sylvestris,225
Leipzig,Early,Aquilegia vulgaris,50
Leipzig,Early,Bergenia purpurascens,160
Leipzig,Early,Caltha palustris,79
Leipzig,Early,Fragaria vesca,14
Leipzig,Early,Helleborus foetidus,805
Leipzig,Early,Iberis sempervirens,8440
Leipzig,Early,Lathyrus vernus,475
Leipzig,Early,Leucanthemum vulgare,4
Leipzig,Early,Menyanthes trifoliata,200
Leipzig,Early,Paeonia officinalis,22
Leipzig,Early,Primula denticulata,660
Leipzig,Early,Primula veris,1010
Leipzig,Early,Pulsatilla vulgaris,256
Leipzig,Early,Scopolia carniolica,180
Leipzig,Early,Tussilago farfara,345
Leipzig,Early,Vinca minor,1660
Leipzig,Late,Anemone hupehensis,998
Leipzig,Late,Anthericum ramosum,1265
Leipzig,Late,Centranthus ruber,1285
Leipzig,Late,Hypericum olympicum,98
Leipzig,Late,Lavandula angustifolia,19200
Leipzig,Late,Penstemon grandiflorus,38
Leipzig,Late,Platycodon grandiflorus,228
Leipzig,Late,Scabiosa ochroleuca,316
Leipzig,Late,Silene coronaria,143
Leipzig,Late,Silene vulgaris,8
Leipzig,Late,Tanacetum vulgare,8080
Leipzig,Mid,Allium ursinum,885
Leipzig,Mid,Anthericum ramosum,125
Leipzig,Mid,Aquilegia vulgaris,392
Leipzig,Mid,Caltha palustris,50
Leipzig,Mid,Centranthus ruber,2750
Leipzig,Mid,Convallaria majalis,305
Leipzig,Mid,Dictamnus albus,226
Leipzig,Mid,Fragaria vesca,18
Leipzig,Mid,Geranium sanguineum,595
Leipzig,Mid,Helianthemum nummularium,198
Leipzig,Mid,Hemerocallis dumortieri,280
Leipzig,Mid,Hypericum olympicum,1945
Leipzig,Mid,Iberis sempervirens,480
Leipzig,Mid,Lamium album,38
Leipzig,Mid,Lavandula angustifolia,8500
Leipzig,Mid,Leucanthemum vulgare,70
Leipzig,Mid,Origanum vulgare,1200
Leipzig,Mid,Paeonia officinalis,12
Leipzig,Mid,Penstemon grandiflorus,670
Leipzig,Mid,Psephellus dealbatus,611
Leipzig,Mid,Salvia officinalis,240
Leipzig,Mid,Salvia pratensis,7250
Leipzig,Mid,Silene coronaria,95
Leipzig,Mid,Silene nutans,80
Leipzig,Mid,Silene viscaria,5700
Leipzig,Mid,Silene vulgaris,92
Leipzig,Mid,Vinca minor,80
Leipzig,Mid,Vincetoxicum hirundinaria,1030
