Botanical_garden,Week,Pollinator,Total_pollinator_abundance
Halle,19,Anthophora plumipes,22
Halle,19,Apis mellifera,2
Halle,19,Halictus tumulorum,12
Halle,19,Osmia cornuta,3
Halle,25,Andrena flavipes,2
Halle,25,Andrena pilipes,1
Halle,25,Anthidium manicatum,1
Halle,25,Anthophora quadrimaculata,12
Halle,25,Apis mellifera,16
Halle,25,Bombus pascuorum,1
Halle,25,Bombus terrestris,4
Halle,25,Lasioglossum laticeps,5
Halle,25,Lasioglossum pauxillum,5
Halle,25,Lasioglossum politum,5
Halle,25,Megachile ericetorum,2
Halle,25,Megachile pilidens,3
Halle,27,Anthidium manicatum,1
Halle,27,Anthidium oblongatum,1
Halle,27,Anthophora quadrimaculata,2
Halle,27,Apis mellifera,8
Halle,27,Bombus pascuorum,11
Halle,27,Bombus rupestris,10
Halle,27,Bombus terrestris,9
Halle,27,Bombus vestalis,45
Halle,27,Chelostoma rapunculi,3
Halle,27,Colletes daviesanus,4
Halle,27,Halictus subauratus,4
Halle,27,Hylaeus nigritus,4
Halle,27,Lasioglossum nitidulum,7
Halle,27,Lasioglossum pauxillum,2
Halle,27,Lasioglossum politum,6
Halle,27,Megachile ericetorum,1
Halle,27,Megachile willughbiella,4
Jena,20,Anthophora plumipes,12
Jena,20,Apis mellifera,2
Jena,20,Bombus pratorum,1
Jena,20,Bombus terrestris,1
Jena,26,Andrena flavipes,1
Jena,26,Anthidium manicatum,1
Jena,26,Apis mellifera,9
Jena,26,Bombus lapidarius,3
Jena,26,Bombus pascuorum,4
Jena,26,Heriades truncorum,4
Jena,26,Lasioglossum morio,3
Jena,26,Lasioglossum pauxillum,1
Jena,26,Megachile ericetorum,1
Jena,26,Megachile lagopoda,1
Jena,26,Megachile rotundata,1
Jena,26,Megachile willughbiella,11
Jena,29,Anthidium manicatum,8
Jena,29,Anthophora quadrimaculata,1
Jena,29,Apis mellifera,21
Jena,29,Bombus hypnorum,4
Jena,29,Bombus lapidarius,1
Jena,29,Bombus lucorum,12
Jena,29,Bombus pascuorum,8
Jena,29,Bombus pratorum,1
Jena,29,Bombus terrestris,24
Jena,29,Bombus vestalis,2
Jena,29,Colletes daviesanus,4
Jena,29,Hylaeus punctatus,1
Jena,29,Lasioglossum interruptum,1
Jena,29,Lasioglossum morio,1
Jena,29,Megachile ericetorum,1
Leipzig,15,Anthophora plumipes,3
Leipzig,15,Apis mellifera,7
Leipzig,15,Bombus lapidarius,3
Leipzig,26,Anthidium manicatum,1
Leipzig,26,Apis mellifera,33
Leipzig,26,Bombus hortorum,1
Leipzig,26,Bombus lapidarius,1
Leipzig,26,Bombus pascuorum,4
Leipzig,26,Bombus terrestris,3
Leipzig,26,Hoplitis adunca,2
Leipzig,26,Lasioglossum leucozonium,1
Leipzig,26,Lasioglossum politum,1
Leipzig,26,Nomada flavoguttata,1
Leipzig,28,Apis mellifera,10
Leipzig,28,Bombus lapidarius,4
Leipzig,28,Bombus pascuorum,10
Leipzig,28,Bombus terrestris,2
Leipzig,28,Bombus vestalis,36
Leipzig,28,Xylocopa violacea,1
